大益診所,07-2231670,高雄市苓雅區同慶路60號1、2樓
顏小兒科診所,07-7221409,高雄市苓雅區輔仁路148號1樓
楊明仁診所,07-2232223,高雄市苓雅區憲政路258之1、258之2號(1樓)
大和診所,07-2295666,高雄市苓雅區光華一路148之99號
信君耳鼻喉科診所,07-7168385,高雄市苓雅區武廟路30號(1樓)
宗天一皮膚科診所,07-5361100,高雄市苓雅區四維三路77、79號(1、2樓)
劉可威診所,07-3352297,高雄市苓雅區福建街14號(1樓)
新高美診所,07-2251445,高雄市苓雅區建國一路340巷11、13號(1樓)
冠泰診所,07-7222628,高雄市苓雅區福德二路69號(1樓)
加福診所,07-5362667,高雄市苓雅區中山二路388號(1樓)
林仁崇診所,07-7494202,高雄市苓雅區正義路２３５號
時尚假期診所,07-7137776,高雄市苓雅區中正一路132號(1樓)
立佳診所,07-7710966,高雄市苓雅區輔仁路149號
高品診所,07-3385881,高雄市苓雅區光華一路107號(1樓)、109號(1樓)
愛爾麗診所,07-3318378,高雄市苓雅區中山二路464號(1樓)
宇安診所,07-7511779,高雄市苓雅區四維二路94之18號(1樓)
禾康診所,07-7521688,高雄市苓雅區四維一路155號
曾政峰耳鼻喉科診所,07-3352777,高雄市苓雅區三多三路112之1號(1樓)
展穎診所,07-7130822,高雄市苓雅區四維一路157號
為人診所,07-7273889,高雄市苓雅區四維二路94之1號
安粟診所,07-3355600,高雄市苓雅區林森二路120號(1樓、地下1樓)
阮綜合醫療社團法人保順診所,07-3351121,高雄市苓雅區成功一路145號
李敏雄內兒科診所,075516217,高雄市鹽埕區鹽埕街８２號
王德瑞內兒科診所,075511852,高雄市鹽埕區建國四路２４３號
蔡水貫皮膚科診所,075512178,高雄市鹽埕區光榮街９０號
林皮膚科診所,075510715,高雄市鹽埕區建國四路２３８號
陳耳鼻喉科診所,075516493,高雄市鹽埕區五福四路３０６號
汪昇勳耳鼻喉科診所,075216655,高雄市鹽埕區瀨南街２２５之１號一樓
楊柯診所,075315795,高雄市鹽埕區七賢三路２１６號
濟仁診所,075513378,高雄市鹽埕區大勇路１２５號
劉應炎診所,075511051,高雄市鹽埕區大公路９８號１００號
楊浴平診所,075214268,高雄市鹽埕區必忠街１６５號
永明診所,075513436,高雄市鹽埕區五福四路１６１號１６３號
施家庭醫學科診所,075324460,高雄市鹽埕區新興街１１８號
盧榮坤小兒科診所,075315657,高雄市鹽埕區莒光街１３７號１樓２樓
協美診所,07-5318156,高雄市鹽埕區建國四路219號
洪清文診所,07-5611725,高雄市鹽埕區七賢三路122號１樓
達人診所,07-5318877,高雄市鹽埕區五福四路96號1、2、3樓
新欣診所,07-5316775,高雄市鹽埕區新樂街120號1樓
李國文診所,07-5216655,高雄市鹽埕區瀨南街225號之1〈1樓〉
好韻診所,5529988,高雄市鼓山區博愛二路331號1～2樓
揚士診所,5502951,高雄市鼓山區文信路251號
許晴哲皮膚科診所,5868101,高雄市鼓山區裕誠路1025號1樓
首璽格爾診所,5542988,高雄市鼓山區裕誠路2038號1樓2040號1～2樓
北高靚世紀診所,5552299,高雄市鼓山區明誠三路727號1~3樓
媄美診所,5887866,高雄市鼓山區九如四路1185號1樓
安禾診所,5507769,高雄市鼓山區博愛一路466號1樓
佳宏小兒科診所,5536175,高雄市鼓山區大順一路841號1樓
優活健康診所,5223400,高雄市鼓山區美術東四路83號1樓
黃柏翰皮膚科診所,5501711,高雄市鼓山區南屏路513、515號
精華診所,55047905504792,高雄市鼓山區明倫路46號1、2樓
王文達診所,5227177,高雄市鼓山區美術東五路166號1樓
蘇燕德內兒科診所,075612497,高雄市鼓山區鼓山二路１２２號
王鴻先耳鼻喉科診所,075834214,高雄市鼓山區鼓山三路242號
葉俊杰皮膚科診所,075512358,高雄市鼓山區千光路10號
柯文良小兒科診所,5535760,高雄市鼓山區華榮路352號1樓
蘇淑娟診所,5524770,高雄市鼓山區華泰路165號
陳大洲耳鼻喉科,075873653,高雄市鼓山區中華一路１０號一樓
謝加晉診所,5532526,高雄市鼓山區民利街１號一樓
林茂生診所,075828337,高雄市鼓山區九如四路1191號1樓
